Code,Year,Est
KWT,2014,43823.544
KWT,2015,43676.076
KWT,2016,43767.496999999996
KWT,2017,43919.385
KWT,2018,45119.761999999995
LAO,2012,1445.5339999999999
LAO,2013,1587.1509999999998
LAO,2014,1707.557
LAO,2015,1850.46
LAO,2016,2005.272
LAO,2017,2173.774
LAO,2018,2353.546
LBN,2012,10310.958999999999
LBN,2013,10793.473
LBN,2014,11348.314
LBN,2015,11888.384
LBN,2016,12453.703000000001
LBN,2017,13043.908
LBN,2018,13659.404999999999
LBR,2012,436.35400000000004
LBR,2013,480.92799999999994
LBR,2014,500.177
LBR,2015,559.241
LBR,2016,575.991
LBR,2017,601.5649999999999
LBR,2018,643.554
LBY,2012,12777.781
LBY,2013,14760.799
LBY,2014,15161.436
LBY,2015,15775.298
LBY,2016,16410.184
LBY,2017,16890.409
LBY,2018,17470.262000000002
LCA,2012,7276.086
LCA,2013,7620.748
LCA,2014,7992.731
LCA,2015,8337.464999999998
LCA,2016,8721.702000000001
LCA,2017,9112.945
LCA,2018,9569.965999999999
LKA,2012,2872.622
LKA,2013,3134.481
LKA,2014,3359.9170000000004
LKA,2015,3630.77
LKA,2016,3933.2479999999996
LKA,2017,4269.121000000001
LKA,2018,4633.091
LSO,2012,1282.6829999999998
LSO,2013,1372.3639999999998
LSO,2014,1462.6619999999998
LSO,2015,1570.901
LSO,2016,1687.3519999999999
LSO,2017,1812.1439999999998
LSO,2018,1958.8239999999998
LTU,2012,14018.356999999998
LTU,2013,15358.498
LTU,2014,16378.721000000001
LTU,2015,17410.816
LTU,2016,18519.128
LTU,2017,19872.280000000002
LTU,2018,21314.261000000002
LUX,2012,107206.369
LUX,2013,112135.31
LUX,2014,112403.931
LUX,2015,113112.613
LUX,2016,114408.46199999998
LUX,2017,115886.307
LUX,2018,117392.479
LVA,2013,15284.903
LVA,2014,16178.9
LVA,2015,17175.855
LVA,2016,18195.537
LVA,2017,19292.671
LVA,2018,20446.928000000004
MAR,2012,2998.886
MAR,2013,3260.3140000000003
MAR,2014,3446.008
MAR,2015,3654.5330000000004
MAR,2016,3887.032
MAR,2017,4176.084
MAR,2018,4490.272999999999
MDA,2013,2218.3070000000002
MDA,2014,2389.898
MDA,2015,2595.942
MDA,2016,2820.604
MDA,2017,3066.569
MDA,2018,3333.983
MDG,2012,451.48199999999997
MDG,2013,465.91799999999995
MDG,2014,479.564
MDG,2015,494.97499999999997
MDG,2016,534.4159999999999
MDG,2017,577.3569999999999
MDG,2018,622.7840000000001
MDV,2012,6674.669000000001
MDV,2013,7097.6500000000005
MDV,2014,7714.257
MDV,2015,8318.694000000001
MDV,2016,8944.735
MDV,2017,9632.765
MDV,2018,10318.805999999999
MEX,2013,10989.103000000001
MEX,2014,11408.102
MEX,2015,11877.972
MEX,2016,12392.934000000001
MEX,2017,12942.866999999998
MEX,2018,13579.565999999999
MHL,2012,3339.987
MHL,2013,3436.906
MHL,2014,3496.4970000000003
MHL,2015,3529.8160000000003
MHL,2016,3590.462
MHL,2017,3652.771
MHL,2018,3715.656
MKD,2012,4682.657
MKD,2013,5050.232
MKD,2014,5266.361000000001
MKD,2015,5567.24
MKD,2016,5915.509
MKD,2017,6257.704
MKD,2018,6625.115000000001
MLI,2012,631.3119999999999
MLI,2013,677.4689999999999
MLI,2014,711.16
MLI,2015,738.324
MLI,2016,761.531
MLI,2017,787.418
MLI,2018,812.887
MLT,2012,20852.405000000002
MLT,2013,22193.055
MLT,2014,22964.569
MLT,2015,23804.485000000004
MLT,2016,24743.908000000003
MLT,2017,25552.413
MLT,2018,26334.106
MMR,2012,834.6
MMR,2013,884.3299999999999
MMR,2014,939.141
MMR,2015,999.0930000000001
MMR,2016,1064.1709999999998
MMR,2017,1133.7160000000001
MMR,2018,1217.687
MNE,2012,6881.755
MNE,2013,7317.685
MNE,2014,7535.726000000001
MNE,2015,7745.595
MNE,2016,7979.031
MNE,2017,8213.638
MNE,2018,8449.731000000002
MNG,2012,3627.197
MNG,2013,4213.436999999999
MNG,2014,4795.996
MNG,2015,5276.303
MNG,2016,5926.732
MNG,2017,6572.282
MNG,2018,7397.977999999999
MOZ,2012,650.0980000000001
MOZ,2013,688.409
MOZ,2014,734.9369999999999
MOZ,2015,805.3519999999999
MOZ,2016,881.489
MOZ,2017,963.0459999999999
MOZ,2018,1052.9170000000001
MRT,2012,1157.399
MRT,2013,1223.922
MRT,2014,1237.6499999999999
MRT,2015,1524.3729999999998
MRT,2016,1601.099
MRT,2017,1702.001
MRT,2018,1755.419
MUS,2012,8850.168
MUS,2013,9306.572
MUS,2014,9799.877999999999
MUS,2015,10369.232000000002
MUS,2016,10977.282000000001
MUS,2017,11677.564999999999
MUS,2018,12430.798
MWI,2012,253.27599999999998
MWI,2013,223.02200000000002
MWI,2014,237.344
MWI,2015,251.845
MWI,2016,265.77
MWI,2017,278.869
MWI,2018,292.98599999999993
MYS,2013,10945.887999999999
MYS,2014,11594.332
MYS,2015,12305.178
MYS,2016,13034.148000000001
MYS,2017,13779.337
MYS,2018,14567.130000000001
NAM,2012,5705.067
NAM,2013,5919.971
NAM,2014,6186.746
NAM,2015,6475.657
NAM,2016,6774.968
NAM,2017,7074.083
NAM,2018,7396.292
NER,2012,408.33
NER,2013,440.41099999999994
NER,2014,459.46999999999997
NER,2015,475.173
NER,2016,491.93899999999996
NER,2017,518.314
NER,2018,545.2669999999999
NGA,2012,1630.986
NGA,2013,1676.0439999999999
NGA,2014,1748.439
NGA,2015,1828.4050000000002
NGA,2016,1923.279
NGA,2017,2031.774
NGA,2018,2149.237
NIC,2012,1756.524
NIC,2013,1833.26
NIC,2014,1921.825
NIC,2015,2006.816
NIC,2016,2099.132
NIC,2017,2196.067
NIC,2018,2297.858
NLD,2012,46142.385
NLD,2013,48091.345
NLD,2014,48782.990999999995
NLD,2015,49808.236
NLD,2016,50861.467
NLD,2017,52029.727999999996
NLD,2018,53295.736
NOR,2013,105478.03
NOR,2014,106134.35800000001
NOR,2015,107249.36
NOR,2016,108720.26
NOR,2017,110745.394
NOR,2018,113119.395
NPL,2012,626.168
NPL,2013,646.4689999999999
NPL,2014,693.1730000000001
NPL,2015,738.229
NPL,2016,784.524
NPL,2017,827.3369999999999
NPL,2018,867.314
NZL,2012,38221.761999999995
NZL,2013,40884.22099999999
NZL,2014,41792.623999999996
NZL,2015,42486.081
NZL,2016,43237.462
NZL,2017,43896.204
NZL,2018,44527.483
OMN,2012,24764.612999999998
OMN,2013,24729.051
OMN,2014,24272.384000000002
OMN,2015,24024.193
OMN,2016,24055.447000000004
OMN,2017,24303.951
OMN,2018,24741.528000000002
PAK,2012,1296.066
PAK,2013,1308.6319999999998
PAK,2014,1322.1689999999999
PAK,2015,1342.58
PAK,2016,1371.214
PAK,2017,1407.499
PAK,2018,1445.1689999999999
PAN,2012,9918.728000000001
PAN,2013,11149.664
PAN,2014,12038.751
PAN,2015,12886.755
PAN,2016,13726.629
PAN,2017,14606.366999999998
PAN,2018,15696.245
PER,2012,6530.333
PER,2013,7135.888
PER,2014,7819.622000000001
PER,2015,8543.555999999999
PER,2016,9357.791000000001
PER,2017,10258.721000000001
PER,2018,10718.119
PHL,2012,2614.156
PHL,2013,2918.1259999999997
PHL,2014,3169.0910000000003
PHL,2015,3395.869
PHL,2016,3641.194
PHL,2017,3908.549
PHL,2018,4190.594
PNG,2012,2312.643
PNG,2013,2491.1110000000003
PNG,2014,2690.362
PNG,2015,3497.944
PNG,2016,3523.3650000000002
PNG,2017,3553.276
PNG,2018,3580.082
POL,2013,13075.01
POL,2014,13728.172
POL,2015,14405.312
POL,2016,15130.338
POL,2017,15854.652
POL,2018,16646.654
PRT,2013,20689.329999999998
PRT,2014,20892.085000000003
PRT,2015,21285.903000000002
PRT,2016,21858.475000000002
PRT,2017,22461.023
PRT,2018,23109.110999999997
PRY,2012,3903.261
PRY,2013,4541.814
PRY,2014,4915.828
PRY,2015,5130.336
PRY,2016,5382.668000000001
PRY,2017,5686.071
PRY,2018,6057.013
QAT,2012,99731.10500000001
QAT,2013,98737.088
QAT,2014,98857.46299999999
QAT,2015,100904.503
QAT,2016,103981.721
QAT,2017,107099.43
QAT,2018,110558.715
ROU,2012,7934.9
ROU,2013,8775.368999999999
ROU,2014,9086.753
ROU,2015,9589.161
ROU,2016,10211.864999999998
ROU,2017,10957.189
ROU,2018,11790.444000000001
RUS,2013,15650.354
RUS,2014,16846.581000000002
RUS,2015,18112.925000000003
RUS,2016,19533.110999999997
RUS,2017,21131.628
RUS,2018,22906.338999999996
RWA,2012,693.033
RWA,2013,730.064
RWA,2014,780.4219999999999
RWA,2015,833.171
RWA,2016,890.53
RWA,2017,955.589
RWA,2018,1015.5740000000001
SAU,2012,25084.608
SAU,2013,25162.537
SAU,2014,25169.863
SAU,2015,25570.67
SAU,2016,26112.053
SAU,2017,26836.509
SAU,2018,27642.221
SDN,2012,1788.717
SDN,2013,1471.503
SDN,2014,1695.885
SDN,2015,1908.922
SDN,2016,2117.5570000000002
SDN,2017,2337.136
SDN,2018,2486.3190000000004
SEN,2012,1057.268
SEN,2013,1068.3539999999998
SEN,2014,1109.896
SEN,2015,1154.896
SEN,2016,1203.232
SEN,2017,1255.585
SEN,2018,1315.07
SGP,2012,51161.596999999994
SGP,2013,52178.874
SGP,2014,53014.420999999995
SGP,2015,53930.623999999996
SGP,2016,54922.022
SGP,2017,56031.459
SGP,2018,57133.640999999996
SLB,2012,1786.167
SLB,2013,1899.201
SLB,2014,1973.819
SLB,2015,2026.6509999999998
SLB,2016,2082.8230000000003
SLB,2017,2139.012
SLB,2018,2245.4150000000004
SLE,2012,613.4499999999999
SLE,2013,715.8249999999999
SLE,2014,807.577
SLE,2015,898.59
SLE,2016,926.156
SLE,2017,954.6519999999999
SLE,2018,984.2830000000001
SLV,2012,3823.492
SLV,2013,3935.3910000000005
SLV,2014,4077.347
SLV,2015,4233.326000000001
SLV,2016,4400.423
SLV,2017,4581.888
SLV,2018,4768.803
SRB,2012,4943.18
SRB,2013,5666.57
SRB,2014,5926.375
SRB,2015,6267.0650000000005
SRB,2016,6585.912
SRB,2017,6925.05
SRB,2018,7309.715
SSD,2012,1174.846
SSD,2013,1278.335
SSD,2014,1672.097
SSD,2015,1741.4560000000001
SSD,2016,1921.777
SSD,2017,2109.485
SSD,2018,2318.385
STP,2012,1535.214
STP,2013,1786.75
STP,2014,1963.733
STP,2015,2696.304
STP,2016,3955.7859999999996
STP,2017,4357.085
STP,2018,4413.6050000000005
SUR,2012,8685.805999999999
SUR,2013,9508.605
SUR,2014,10189.978
SUR,2015,10964.41
SUR,2016,11800.913
SUR,2017,12705.126
SUR,2018,13682.93
SVK,2013,18088.89
SVK,2014,18712.463000000003
SVK,2015,19478.785000000003
SVK,2016,20367.087000000003
SVK,2017,21317.08
SVK,2018,22304.449
SVN,2012,22192.545000000002
SVN,2013,22656.883
SVN,2014,23019.663
SVN,2015,23591.748000000003
SVN,2016,24241.198999999997
SVN,2017,24933.642
SVN,2018,25643.076
SWE,2013,60019.967
SWE,2014,62451.714
SWE,2015,65168.02
SWE,2016,67940.77100000001
SWE,2017,70854.238
SWE,2018,73870.438
SWZ,2012,3474.928
SWZ,2013,3489.641
SWZ,2014,3533.025
SWZ,2015,3546.51
SWZ,2016,3572.092
SWZ,2017,3600.18
SWZ,2018,4371.085
SYC,2012,11226.226
SYC,2013,12207.158
SYC,2014,12619.899
SYC,2015,13175.081
SYC,2016,13780.247000000001
SYC,2017,14387.652
SYC,2018,14968.929
SYR,2012,NA
SYR,2013,NA
SYR,2014,NA
SYR,2015,NA
SYR,2016,NA
SYR,2017,NA
SYR,2018,NA
TCD,2012,1006.122
TCD,2013,1093.686
TCD,2014,1197.506
TCD,2015,1272.501
TCD,2016,1255.008
TCD,2017,1257.231
TCD,2018,1238.386
TGO,2012,584.605
TGO,2013,634.7930000000001
TGO,2014,662.653
TGO,2015,694.039
TGO,2016,721.545
TGO,2017,749.994
TGO,2018,775.8269999999999
THA,2012,5678.476999999999
THA,2013,6571.905
THA,2014,7188.854
THA,2015,7664.304
THA,2016,8190.463
THA,2017,8722.243000000002
THA,2018,9284.105
TJK,2012,953.3149999999999
TJK,2013,1052.309
TJK,2014,1115.93
TJK,2015,1191.386
TJK,2016,1277.934
TJK,2017,1373.43
TJK,2018,1470.367
TKM,2012,5998.674
TKM,2013,7051.494
TKM,2014,8229.857999999998
TKM,2015,9516.554999999998
TKM,2016,11301.66
TKM,2017,13456.704000000002
TKM,2018,15834.302
TLS,2012,3730.089
TLS,2013,3703.735
TLS,2014,3707.988
TLS,2015,4169.662000000001
TLS,2016,4471.624000000001
TLS,2017,4737.649
TLS,2018,5044.652000000001
TON,2012,4561.411
TON,2013,4711.956999999999
TON,2014,4861.143
TON,2015,5021.094
TON,2016,5210.54
TON,2017,5437.275
TON,2018,5555.205
TTO,2012,19018.205
TTO,2013,20054.153
TTO,2014,21102.79
TTO,2015,22121.538
TTO,2016,23158.798000000003
TTO,2017,24255.712
TTO,2018,25484.453
TUN,2012,4232.068
TUN,2013,4532.991
TUN,2014,4620.042
TUN,2015,4800.849
TUN,2016,4940.615000000001
TUN,2017,5141.584
TUN,2018,5391.538
TUR,2012,10609.178
TUR,2013,11236.054999999998
TUR,2014,11498.501
TUR,2015,12131.096
TUR,2016,13105.099
TUR,2017,14157.154999999999
TUR,2018,15298.661
TUV,2012,3259.539
TUV,2013,3317.159
TUV,2014,3316.203
TUV,2015,3311.642
TUV,2016,3309.9750000000004
TUV,2017,3306.2659999999996
TUV,2018,3303.747
TWN,2013,21141.093
TWN,2014,22474.726000000002
TWN,2015,24109.755
TWN,2016,25933.164
TWN,2017,27832.827
TWN,2018,29951.972
TZA,2012,599.1880000000001
TZA,2013,663.1080000000001
TZA,2014,712.5219999999999
TZA,2015,749.3249999999999
TZA,2016,787.949
TZA,2017,828.234
TZA,2018,864.144
UGA,2012,589.156
UGA,2013,579.833
UGA,2014,596.7030000000001
UGA,2015,626.049
UGA,2016,657.48
UGA,2017,693.02
UGA,2018,734.8319999999999
UKR,2012,3877.281
UKR,2013,4015.285
UKR,2014,4342.624000000001
UKR,2015,4725.191000000001
UKR,2016,5155.4349999999995
UKR,2017,5607.946999999999
UKR,2018,6134.852000000001
URY,2012,14614.147
URY,2013,15253.537
URY,2014,15884.113000000001
URY,2015,16643.303
URY,2016,17533.545000000002
URY,2017,18438.346
URY,2018,19396.147
USA,2012,49922.113
USA,2013,51248.208
USA,2014,53327.977
USA,2015,55837.311
USA,2016,58436.312000000005
USA,2017,61133.844000000005
USA,2018,63676.098
UZB,2012,1737.492
UZB,2013,1895.315
UZB,2014,2030.212
UZB,2015,2175.504
UZB,2016,2331.195
UZB,2017,2486.2439999999997
UZB,2018,2651.605
VCT,2012,6489.249
VCT,2013,6675.761
VCT,2014,7001.687
VCT,2015,7407.113
VCT,2016,7877.28
VCT,2017,8318.574999999999
VCT,2018,8784.592
VEN,2012,12956.079
VEN,2013,11527.408
VEN,2014,10818.663
VEN,2015,11050.654
VEN,2016,11344.681
VEN,2017,11560.065999999999
VEN,2018,11844.908
VNM,2012,1527.536
VNM,2013,1704.8929999999998
VNM,2014,1843.878
VNM,2015,1965.1219999999998
VNM,2016,2132.2039999999997
VNM,2017,2295.924
VNM,2018,2473.715
VUT,2012,3124.8770000000004
VUT,2013,3239.318
VUT,2014,3374.736
VUT,2015,3533.446
VUT,2016,3699.62
VUT,2017,3873.609
VUT,2018,4055.781
WSM,2012,3727.123
WSM,2013,3729.129
WSM,2014,4057.678
WSM,2015,4238.724
WSM,2016,4423.548
WSM,2017,4617.854
WSM,2018,4820.736
YEM,2012,1376.957
YEM,2013,1461.068
YEM,2014,1507.187
YEM,2015,1546.276
YEM,2016,1587.668
YEM,2017,1638.3919999999998
YEM,2018,1699.6039999999998
ZAF,2012,7506.583
ZAF,2013,7256.976999999999
ZAF,2014,7488.809
ZAF,2015,7739.885
ZAF,2016,7990.543
ZAF,2017,8242.625
ZAF,2018,8510.268
ZMB,2012,1473.815
ZMB,2013,1617.8729999999998
ZMB,2014,1753.6329999999998
ZMB,2015,1893.6829999999998
ZMB,2016,2045.939
ZMB,2017,2203.304
ZMB,2018,2368.889
ZWE,2012,755.55
ZWE,2013,836.971
ZWE,2014,929.538
ZWE,2015,1023.7280000000001
ZWE,2016,1127.785
ZWE,2017,1241.939
ZWE,2018,1367.0929999999998
